codigo;nome;categoria;Energia (kcal);Carboidrato disponível (g);Proteína (g);Lipídios (g);Fibra alimentar (g);Ácidos graxos saturados (g);Ácidos graxos trans (g);Sódio (mg);Açúcar de adição (g);Alfa-tocoferol (Vitamina E) (mg);Carboidrato total (g);Cinzas (g);Cobre (mg);Colesterol (g);Colesterol (mg);Cálcio (mg);Energia (kJ);Equivalente de folato (mcg);Ferro (mg);Fósforo (mg);Magnésio (mg);Niacina (mg);Potássio (mg);Riboflavina (mg);Sal de adição (g);Selênio (mcg);Tiamina (mg);Umidade (g);Vitamina A (RAE) (mcg);Vitamina A (RE) (mcg);Vitamina B12 (mcg);Vitamina B6 (mg);Vitamina C (mg);Vitamina D (mcg);Zinco (mg);Ácidos graxos monoinsaturados (g);Ácidos graxos poliinsaturados (g);Álcool (g)
C0074B;Feijão, broto, cru, Vigna radiata (L.) R. Wilczek,;Vegetais e derivados;45.00;5.79;4.17;0.10;1.97;0.03;0.00;1.79;0.00;0.06;7.76;0.49;0.17;;0.00;14.50;189.00;79.50;0.82;74.80;25.10;0.00;189.00;0.04;0.00;0.78;0.00;87.50;0.57;1.14;0.00;0.15;12.00;0.00;0.57;0.01;0.03;0.00
C0056C;Figo, in natura, Ficus carica L.,;Frutas e derivados;43.00;8.45;0.97;0.16;1.79;0.03;0.00;0.00;0.00;0.06;10.20;0.44;0.13;;0.00;27.40;180.00;3.39;0.20;14.60;11.30;0.00;174.00;0.00;0.00;0.11;0.05;88.20;3.70;7.40;0.00;0.00;0.79;0.00;0.09;0.03;0.08;0.00
C0261C;Figo, seco, Ficus carica,;Frutas e derivados;257.00;54.10;3.30;0.93;9.80;0.14;;10.00;0.00;0.35;63.90;1.85;0.29;;0.00;162.00;1088.00;0.00;2.03;67.00;68.00;0.62;680.00;0.08;0.00;0.60;0.09;30.10;0.00;0.00;0.00;0.11;1.20;0.00;0.55;0.16;0.35;0.00
C1118B;Flor de abóbora, crua, Cucurbita,;Vegetais e derivados;18.00;3.22;1.03;0.07;0.00;0.04;0.00;5.00;0.00;;3.22;0.48;;0.00;;39.00;75.00;59.00;0.70;49.00;24.00;0.69;173.00;0.08;0.00;0.70;0.04;95.20;97.00;;0.00;;28.00;0.00;;0.01;0.00;0.00
C0204C;Framboesa, in natura,;Frutas e derivados;45.00;5.44;1.20;0.65;6.50;0.19;0.00;1.00;0.00;0.87;11.90;0.46;0.09;;0.00;25.00;189.00;21.00;0.69;29.00;22.00;0.60;151.00;0.04;0.00;0.20;0.03;85.80;2.00;;0.00;0.06;26.20;0.00;0.42;0.06;0.38;0.00
C0058C;Fruta pão, in natura, Artocarpus altilis (Parkinson) Fosberg,;Frutas e derivados;64.00;11.60;1.08;0.19;5.55;0.10;0.00;0.80;0.00;0.08;17.20;0.69;0.07;;0.00;33.70;267.00;9.13;0.23;27.40;24.00;0.00;188.00;0.00;0.00;0.39;0.03;80.90;0.00;0.00;0.00;0.00;9.87;0.00;0.13;0.00;0.00;0.00
C0290C;Frutas, nativas, Brasil (média de 23 espécies),;Frutas e derivados;71.00;13.80;0.99;0.58;3.17;0.16;0.00;8.41;0.00;0.00;16.90;0.61;0.11;0.00;;13.80;298.00;12.90;0.28;22.90;15.90;0.00;228.00;0.07;0.00;0.45;0.14;80.90;37.90;75.90;0.00;0.06;21.30;0.00;0.27;0.12;0.10;0.00
C1040B;Fécula de batata, crua,;Vegetais e derivados;340.00;77.30;6.90;0.34;5.90;0.09;0.00;55.00;0.00;0.25;83.20;3.14;197.00;;0.00;65.00;1444.00;25.00;1.38;168.00;65.00;3.51;1001.00;0.05;0.00;1.10;0.23;6.42;0.00;0.00;0.00;0.77;3.80;0.00;0.54;0.01;0.15;0.00
C1077B;Gengibre, em pó, Zingiber officinale,;Vegetais e derivados;332.00;57.50;8.98;4.24;14.10;2.60;0.00;27.00;0.00;0.00;71.60;5.22;0.48;;0.00;114.00;1400.00;13.00;19.80;168.00;214.00;9.62;1320.00;0.17;0.00;55.80;0.05;9.94;2.00;;0.00;0.63;0.70;0.00;3.64;0.48;0.93;0.00
C0796B;Gengibre, raiz, in natura, Zingiber officinale,;Vegetais e derivados;81.00;15.80;1.82;0.75;2.00;0.20;0.00;13.00;0.00;0.26;17.80;0.77;0.23;;0.00;16.00;343.00;11.00;0.60;34.00;43.00;0.75;415.00;0.03;0.00;0.70;0.03;78.90;0.00;0.00;0.00;0.16;5.00;0.00;0.34;0.15;0.15;0.00
C0016U;Gergelim, semente, crua, Sesamum indicum L.,;Sementes e Oleaginosas;601.00;9.75;21.20;50.40;11.90;7.80;;2.58;0.00;0.25;21.60;2.93;1.51;;0.00;825.00;2486.00;97.80;5.45;740.00;360.00;5.92;546.00;0.00;0.00;34.70;0.94;3.86;0.42;0.83;0.00;0.13;0.00;0.00;5.24;19.90;22.50;0.00
C0097C;Goiaba, doce, cascão,;Frutas e derivados;309.00;74.30;0.41;0.10;4.37;;0.00;11.00;;;78.70;0.52;0.08;;0.00;14.70;1310.00;;0.40;28.20;9.67;1.41;250.00;0.00;0.00;;0.00;20.30;25.20;50.30;0.00;0.00;34.30;0.00;0.14;;;0.00
C0096C;Goiaba, doce, em pasta,;Frutas e derivados;291.00;70.40;0.58;0.00;3.73;;0.00;3.70;;;74.10;0.52;0.06;;0.00;10.10;1236.00;;0.40;53.60;6.49;0.00;164.00;0.00;0.00;;0.07;24.80;62.20;62.20;0.00;0.00;23.10;0.00;0.09;;;0.00
C0014C;Goiaba, inteira, in natura, Psidium guajava L.,;Frutas e derivados;50.00;7.65;0.86;0.53;5.78;0.06;0.00;0.00;0.00;0.41;13.40;1.18;0.04;;0.00;6.45;210.00;40.80;0.17;15.90;8.75;0.00;208.00;0.00;0.00;0.40;0.00;84.00;53.10;106.00;0.00;0.03;89.90;0.00;0.17;0.00;0.24;0.00
C0036D;Gordura bovina, sebo,;Gorduras e óleos;900.00;0.00;0.00;100.00;0.00;49.80;;0.00;0.00;2.70;0.00;0.00;0.00;;109.00;0.00;3700.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.70;0.00;41.80;4.00;0.00
C0003D;Gordura, vegetal, hidrogenada,;Gorduras e óleos;900.00;0.00;0.00;100.00;0.00;50.90;0.19;0.00;0.00;35.30;0.00;0.00;0.00;;0.00;0.00;3700.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;18.60;30.20;0.00
C0077C;Graviola, in natura, Psidium guajava L.,;Frutas e derivados;65.00;13.90;0.85;0.21;1.91;0.00;0.00;4.16;0.00;;15.80;0.95;0.04;;0.00;40.10;274.00;;0.17;19.20;23.50;0.00;249.00;0.12;0.00;;0.17;82.20;;;0.00;0.03;19.10;0.00;0.13;0.10;0.00;0.00
C0078C;Graviola, polpa, congelada,;Frutas e derivados;40.00;8.60;0.57;0.14;1.19;;0.00;3.05;0.00;;9.78;0.35;0.06;;0.00;5.98;170.00;;0.10;16.60;9.76;0.00;169.00;0.09;0.00;;0.00;89.20;;;0.00;0.00;10.50;0.00;0.05;;;0.00
C0799B;Hortelã, in natura, Mentha spicata,;Vegetais e derivados;40.00;1.60;3.29;0.73;6.80;0.19;0.00;30.00;0.00;0.00;8.40;2.03;0.24;;0.00;199.00;165.00;105.00;11.90;60.00;63.00;0.95;458.00;0.18;0.00;;0.08;85.60;203.00;;0.00;0.16;13.30;0.00;1.09;0.03;0.39;0.00
C0025B;Inhame, s/ casca, cru, Colocasia esculenta,;Vegetais e derivados;88.00;18.70;2.27;0.14;1.59;0.05;0.00;0.00;0.00;1.67;20.30;0.97;0.15;;0.00;15.50;374.00;17.80;0.03;65.00;28.20;0.00;510.00;0.00;0.00;0.90;0.07;76.30;2.63;5.25;0.00;0.09;4.99;0.00;0.47;0.00;0.05;0.00
C0133G;Iogurte, grego, simples, integral,;Leite e derivados;97.00;3.98;9.00;5.00;0.00;2.40;0.00;35.00;;0.01;3.98;0.72;0.02;;13.00;100.00;406.00;5.00;0.00;135.00;11.00;0.21;141.00;0.28;;9.70;0.02;81.30;2.00;2.00;0.75;0.06;0.00;0.00;0.52;2.14;0.47;0.00
C0011G;Iogurte, integral (média de diferentes sabores),;Leite e derivados;75.00;10.70;3.12;2.17;0.23;1.40;0.06;55.70;;0.04;10.90;0.68;0.03;;7.17;128.00;317.00;6.15;0.37;66.60;9.66;0.19;133.00;0.11;0.00;1.70;0.03;83.10;24.50;24.80;0.29;0.01;0.00;0.00;0.28;0.65;0.10;0.00
C0012G;Iogurte, integral, ameixa,;Leite e derivados;67.00;10.00;2.99;1.63;0.23;1.01;;62.80;;0.07;10.20;0.74;0.01;;5.43;105.00;283.00;6.02;0.52;52.50;9.70;0.00;152.00;0.12;0.00;;0.03;84.40;;;0.31;0.02;0.00;0.00;0.30;0.51;0.07;0.00
C0013G;Iogurte, integral, coco,;Leite e derivados;67.00;10.00;2.99;1.63;0.23;1.01;;43.00;;0.07;10.20;0.74;0.01;;5.43;92.20;283.00;6.02;0.28;47.70;7.70;0.00;127.00;0.12;0.00;;0.03;84.40;;;0.31;0.02;0.00;0.00;0.26;0.51;0.07;0.00
C0015G;Iogurte, integral, maracujá,;Leite e derivados;67.00;10.00;2.99;1.63;0.23;1.01;;43.90;;0.07;10.20;0.74;0.01;;5.43;87.20;283.00;6.02;0.34;38.90;7.40;0.00;131.00;0.12;0.00;;0.03;84.40;;;0.31;0.02;0.00;0.00;0.20;0.51;0.07;0.00
C0014G;Iogurte, integral, maçã,;Leite e derivados;67.00;10.00;2.99;1.63;0.23;1.01;;48.20;;0.07;10.20;0.74;0.01;;5.43;101.00;283.00;6.02;0.26;47.60;8.80;0.00;149.00;0.12;0.00;;0.03;84.40;;;0.31;0.02;0.00;0.00;0.17;0.51;0.07;0.00
C0017G;Iogurte, integral, morango,;Leite e derivados;85.00;13.70;2.63;2.09;0.11;1.40;;41.90;;0.09;13.90;0.66;0.03;;7.49;97.80;356.00;7.42;0.23;61.50;7.92;0.00;92.10;0.12;0.00;;0.03;80.80;;;0.39;0.02;0.00;0.00;0.30;0.70;0.10;0.00
C0018G;Iogurte, integral, polpa de fruta, morango,;Leite e derivados;99.00;18.00;2.54;1.85;0.00;1.11;;56.60;;0.08;18.00;0.68;0.03;;5.95;151.00;418.00;8.91;0.02;110.00;12.10;0.00;78.60;0.18;0.00;;0.05;76.90;;;0.46;0.03;0.00;0.00;0.46;0.56;0.08;0.00
C0019G;Iogurte, integral, pêssego,;Leite e derivados;67.00;8.72;2.53;2.34;0.72;1.40;0.06;41.30;;0.10;9.43;0.64;0.01;;8.40;88.70;283.00;5.77;0.31;52.90;7.38;0.38;85.30;0.10;0.00;1.73;0.02;85.10;26.40;26.70;0.30;0.00;0.00;0.00;0.30;0.60;0.10;0.00
C0020G;Iogurte, natural (média de diferentes amostras),;Leite e derivados;57.00;4.76;4.02;2.43;0.00;1.44;;47.70;0.00;0.04;4.76;0.98;0.02;;11.00;133.00;239.00;7.05;0.18;85.60;11.00;0.00;124.00;0.27;0.00;1.70;0.04;87.80;35.90;36.20;0.37;0.00;1.13;0.07;0.32;0.72;0.08;0.00
C0022G;Iogurte, natural, desnatado,;Leite e derivados;48.00;7.04;4.04;0.42;0.00;0.26;0.01;68.90;0.00;0.00;7.04;0.96;0.00;;4.41;181.00;204.00;10.10;0.00;126.00;13.80;0.00;210.00;0.25;0.00;1.70;0.00;87.50;4.64;4.64;0.51;0.00;0.40;0.00;0.59;0.13;;0.00
C0023G;Iogurte, natural, desnatado, Vigor,;Leite e derivados;55.00;8.30;4.24;0.52;0.00;0.33;0.02;78.20;0.00;0.01;8.30;1.07;0.00;;5.49;205.00;232.00;10.40;0.00;143.00;15.70;0.00;238.00;0.28;0.00;;0.00;85.90;4.70;;0.53;0.00;0.45;0.00;0.67;0.16;0.03;0.00
C0021G;Iogurte, natural, Vigor,;Leite e derivados;63.00;7.61;3.97;1.82;0.00;1.08;;74.70;;0.03;7.61;1.01;0.03;;8.25;207.00;264.00;8.34;0.00;172.00;16.30;0.00;103.00;0.32;0.00;;0.05;85.60;13.50;13.50;0.44;0.00;1.34;0.06;0.64;0.54;0.06;0.00
C0079C;Jabuticaba, in natura, Myrciaria cauliflora Berg.,;Frutas e derivados;60.00;13.00;0.61;0.13;2.30;;0.00;0.00;0.00;;15.30;0.36;0.07;;0.00;8.35;254.00;;0.09;14.50;17.80;0.00;129.00;0.00;0.00;;0.06;83.60;;;0.00;0.00;16.20;0.00;0.28;;;0.00
C0059C;Jaca, in natura, Artocarpus integrifolia L. f.,;Frutas e derivados;93.00;20.10;1.40;0.26;2.39;0.10;0.00;1.80;0.00;0.14;22.50;0.76;0.09;;0.00;11.20;395.00;22.50;0.38;13.90;40.10;0.00;233.00;0.04;0.00;;0.10;75.10;0.00;0.00;0.00;0.05;14.80;0.00;0.17;0.10;0.00;0.00
C0080C;Jambo, in natura, Eugenia malaccensis L.,;Frutas e derivados;20.00;1.42;0.89;0.07;5.07;;0.00;21.70;0.00;;6.49;0.45;0.02;;0.00;13.80;82.00;;0.14;18.40;14.20;1.18;134.00;0.00;0.00;;0.08;92.10;;;0.00;0.00;3.77;0.00;0.11;;;0.00
C0715B;Jambu, cru, Spilanthes oleracea L.,;Vegetais e derivados;33.00;2.61;3.08;0.25;4.05;;;;0.00;;6.66;1.41;;;0.00;;138.00;;6.40;;;;;;0.00;;;88.60;;;;;;;;;;0.00
C0060C;Jamelão, in natura, Syzygium cumini Lamarck,;Frutas e derivados;42.00;8.85;0.55;0.11;1.78;;0.00;1.37;0.00;;10.60;1.04;0.03;;0.00;3.09;178.00;;0.05;4.12;2.16;0.00;394.00;0.00;0.00;;0.17;87.70;0.00;0.00;0.00;0.12;27.10;0.00;0.05;;;0.00
C0086B;Jurubeba, crua, Solanum spp.,;Vegetais e derivados;101.00;0.00;4.41;3.91;23.90;0.50;0.00;0.77;0.00;;23.10;1.98;1.16;;0.00;151.00;411.00;;0.95;155.00;65.30;0.00;619.00;0.02;0.00;;0.13;66.60;;;0.00;0.20;13.80;;0.63;0.50;2.10;0.00
C0061C;Kiwi, in natura, Actinidia chinensis,;Frutas e derivados;59.00;9.78;1.25;1.00;2.92;0.09;0.00;0.00;0.00;2.80;12.70;0.59;0.16;;0.00;27.90;248.00;22.90;0.28;36.40;11.20;0.00;295.00;0.00;0.00;0.10;0.00;84.50;2.71;5.42;0.00;0.06;70.80;0.00;0.12;0.16;0.56;0.00
C0018C;Laranja, Baía, in natura, Citrus sinensis,;Frutas e derivados;48.00;9.62;0.91;0.28;1.46;0.00;0.00;0.00;0.00;0.42;11.10;0.38;0.04;;0.00;34.60;201.00;28.50;0.14;23.00;9.01;0.00;170.00;0.02;0.00;0.30;0.06;87.40;2.04;4.08;0.00;0.00;55.50;0.00;0.06;0.00;0.00;0.00
C0298C;Laranja, casca, in natura, Citrus spp.,;Frutas e derivados;87.00;14.40;1.50;0.20;10.60;0.02;0.00;3.00;0.00;0.25;25.00;0.80;0.09;0.00;;161.00;363.00;30.00;0.80;21.00;22.00;0.90;212.00;0.09;0.00;1.00;0.12;72.50;21.00;;0.00;0.18;136.00;0.00;0.25;0.04;0.04;0.00
C0017C;Laranja, in natura, Citrus spp.,;Frutas e derivados;45.00;8.81;0.90;0.24;2.02;0.04;0.00;0.53;0.00;0.36;10.80;0.41;0.04;;0.00;29.90;190.00;28.10;0.12;20.20;10.90;0.00;159.00;0.04;0.00;0.30;0.07;87.60;1.48;2.96;0.00;0.03;47.30;0.00;0.11;0.06;0.06;0.00
C0019C;Laranja, Lima, in natura, Citrus sinensis (L.) Osbeck,;Frutas e derivados;43.00;8.37;0.95;0.25;1.98;0.00;0.00;1.02;0.00;0.38;10.30;0.41;0.03;;0.00;28.80;183.00;26.90;0.11;13.30;9.30;0.00;118.00;0.05;0.00;0.30;0.09;88.10;1.48;2.96;0.00;0.04;39.80;0.00;0.11;0.00;0.00;0.00
C0020C;Laranja, Pera, in natura, Citrus sinensis,;Frutas e derivados;37.00;7.26;0.87;0.21;1.36;0.00;0.00;0.00;0.00;0.31;8.63;0.40;0.03;;0.00;21.30;157.00;22.90;0.09;22.00;8.36;0.00;158.00;0.02;0.00;0.30;0.06;89.90;0.92;1.83;0.00;0.02;52.20;0.00;0.06;0.00;0.00;0.00
C0021C;Laranja, Seleta, in natura, Citrus aurantium L.,;Frutas e derivados;52.00;9.92;0.83;0.36;2.87;0.00;0.00;0.99;0.00;0.54;12.80;0.38;0.04;;0.00;34.70;219.00;32.50;0.14;23.40;12.60;0.00;184.00;0.05;0.00;0.30;0.08;85.60;1.48;2.96;0.00;0.04;54.90;0.00;0.13;0.00;0.00;0.00
C0095B;Legumes, seleta, enlatada, drenada,;Vegetais e derivados;46.00;6.39;3.11;0.28;2.94;0.10;0.00;314.00;0.00;;9.33;1.40;0.07;;0.00;12.80;195.00;;0.84;38.80;12.30;2.94;96.70;0.00;;;0.02;85.90;122.00;245.00;0.00;0.00;0.00;0.00;0.42;0.17;0.17;0.00
C0027G;Leite, búfala,  integral,;Leite e derivados;100.00;5.31;3.82;7.02;0.00;4.68;;53.00;0.00;;5.31;0.77;;;19.40;180.00;415.00;6.11;0.12;119.00;31.60;0.93;181.00;0.14;0.00;;0.05;83.10;54.00;;0.37;0.02;2.34;;0.22;1.82;0.15;0.00
C0029G;Leite, cabra, desnatado, fluído,;Leite e derivados;63.00;4.55;3.12;3.60;0.00;2.30;0.12;69.10;0.00;0.06;4.55;0.81;0.04;;13.40;115.00;264.00;0.93;0.10;105.00;13.20;0.00;130.00;0.13;0.00;1.30;0.00;87.90;33.90;34.40;0.07;0.00;0.00;0.05;0.33;0.77;0.10;0.00
C0143G;Leite, cabra, integral, em pó,;Leite e derivados;534.00;29.90;25.90;34.50;0.00;19.70;0.99;607.00;0.00;0.58;29.90;6.63;0.33;;111.00;45.30;2225.00;7.47;0.85;929.00;108.00;0.00;1149.00;1.18;0.00;;0.00;3.10;340.00;345.00;0.52;0.00;0.00;0.51;2.93;6.57;0.82;0.00
C0028G;Leite, cabra, integral, fluído,;Leite e derivados;67.00;3.52;3.33;4.42;0.00;2.82;0.14;69.10;0.00;0.07;3.52;0.81;0.04;;16.50;115.00;280.00;0.93;0.10;105.00;13.20;0.00;130.00;0.13;0.00;1.30;0.00;87.90;41.50;42.10;0.07;0.00;0.00;0.06;0.33;0.94;0.12;0.00
C0038G;Leite, vaca, desnatado, em pó,;Leite e derivados;355.00;52.10;34.40;1.06;0.00;0.68;0.02;450.00;;0.02;52.10;9.44;0.16;;28.20;1364.00;1509.00;36.80;0.93;1674.00;108.00;0.81;1556.00;1.20;0.00;16.20;0.32;3.03;340.00;340.00;3.23;0.00;8.55;0.02;3.85;0.23;0.00;0.00
C0036G;Leite, vaca, desnatado, fluído (média de diferentes amostras),;Leite e derivados;37.00;5.14;3.12;0.40;0.00;0.25;;51.10;0.00;0.05;5.14;0.75;0.02;;3.75;119.00;155.00;5.14;0.07;85.40;10.30;1.49;140.00;0.26;0.00;3.93;0.04;90.60;7.92;10.80;0.51;0.00;0.00;0.00;0.40;0.10;0.01;0.00
C0070G;Leite, vaca, desnatado, UHT, Vigor,;Leite e derivados;39.00;5.95;2.98;0.36;0.00;0.23;;51.40;0.00;0.05;5.95;0.77;0.02;;3.75;134.00;165.00;5.49;0.00;85.90;10.30;1.50;140.00;0.26;0.00;;0.04;89.90;9.00;;0.55;0.00;0.00;0.00;0.38;0.09;0.01;0.00
C0031G;Leite, vaca, fermentado,;Leite e derivados;75.00;16.70;1.93;0.07;0.00;;;35.40;;0.00;16.70;0.45;0.01;;1.39;75.70;320.00;9.72;0.00;66.50;6.60;0.00;100.00;0.11;0.00;3.89;0.08;80.80;0.00;0.00;0.43;0.00;0.52;0.00;0.28;;;0.00
C0039G;Leite, vaca, integral, em pó (média de várias amostras),;Leite e derivados;498.00;39.00;26.00;26.40;0.00;16.00;0.92;321.00;;0.57;39.00;5.55;0.11;;83.70;886.00;2082.00;36.80;0.52;1237.00;77.10;0.00;1127.00;1.02;0.00;16.20;0.24;3.08;325.00;329.00;3.23;0.00;8.55;0.49;2.72;6.97;0.49;0.00
C0041G;Leite, vaca, integral, em pó, Ninho,;Leite e derivados;500.00;38.20;26.00;27.00;0.00;16.40;0.94;322.00;;0.59;38.20;5.79;0.11;;85.60;887.00;2091.00;36.80;0.52;1238.00;77.20;0.00;1128.00;1.02;0.00;;0.24;3.00;287.00;295.00;3.23;0.00;8.55;0.51;2.72;7.13;0.50;0.00
C0043G;Leite, vaca, integral, fluído,;Leite e derivados;64.00;5.92;2.93;3.23;0.00;2.01;;63.80;0.00;0.08;5.92;0.67;0.02;;12.40;107.00;270.00;5.18;0.07;82.00;9.71;1.52;133.00;0.24;0.00;4.81;0.04;87.20;48.80;49.60;0.37;0.00;0.00;1.19;0.38;0.93;0.12;0.00
C0040G;Leite, vaca, integral, instantâneo, em pó, Ninho,;Leite e derivados;500.00;38.30;26.00;27.00;0.00;16.40;0.94;322.00;;0.59;38.30;5.75;0.11;;85.60;887.00;2091.00;36.80;0.52;1238.00;77.20;0.00;1128.00;1.02;0.00;;0.24;3.00;287.00;295.00;3.23;0.00;8.55;0.51;2.72;7.13;0.50;0.00
C0045G;Leite, vaca, integral, orgânico,;Leite e derivados;61.00;4.12;3.30;3.50;0.00;1.63;0.02;43.40;0.00;0.09;4.12;0.75;0.01;;12.20;110.00;256.00;10.50;0.04;88.90;10.60;0.82;137.00;0.18;0.00;;0.04;88.30;;;0.43;0.04;1.15;0.10;0.40;0.82;0.12;0.00
C0044G;Leite, vaca, integral, UHT (média de diferentes amostras),;Leite e derivados;65.00;7.16;2.35;3.04;0.00;1.40;0.02;63.80;0.00;0.09;7.16;0.77;0.02;;10.50;107.00;274.00;5.51;0.00;82.00;10.00;1.52;133.00;0.24;0.00;6.94;0.04;86.70;42.60;43.60;0.51;0.00;0.00;1.19;0.37;0.70;0.10;0.00
C0046G;Leite, vaca, semidesnatado, UHT,;Leite e derivados;55.00;6.51;3.23;1.81;0.00;1.15;0.08;61.60;0.00;0.03;6.51;0.78;0.02;;7.31;103.00;233.00;5.71;0.07;79.30;9.39;1.47;128.00;0.23;0.00;1.33;0.04;87.70;27.30;27.80;0.61;0.00;0.00;0.00;0.37;0.05;0.07;0.00
C0299C;Limão, casca, in natura, Citrus latifolia,;Frutas e derivados;52.00;5.40;1.50;0.30;10.60;0.04;0.00;6.00;0.00;0.25;16.00;0.60;0.09;0.00;;134.00;213.00;13.00;0.80;12.00;15.00;0.40;160.00;0.08;0.00;0.70;0.06;81.60;3.00;;0.00;0.17;129.00;0.00;0.25;0.01;0.09;0.00
C0062C;Limão, cravo, in natura, Citrus limoniaI Osbeck,;Frutas e derivados;22.00;5.25;0.32;0.00;0.00;0.00;0.00;0.00;0.00;0.15;5.25;0.24;0.03;;0.00;10.20;95.00;5.44;0.08;11.10;8.86;0.00;119.00;0.00;0.00;0.20;0.00;94.20;15.70;31.40;0.00;0.00;32.80;0.00;0.00;0.00;0.00;0.00
C0776B;Lingua de vaca, crua, Talinum Patens Wand,;Vegetais e derivados;15.00;1.48;1.62;0.29;;;;24.90;0.00;;1.48;1.20;0.74;;0.00;613.00;63.00;;7.50;222.00;915.00;;397.00;;0.00;;;95.40;;;;;48.30;;4.42;;;0.00
C0180F;Linguiça, crua (média de vários tipos),;Carnes e derivados;251.00;0.80;15.70;20.50;;6.13;0.04;1150.00;;;0.80;3.00;0.05;;75.50;7.64;1040.00;6.54;0.46;169.00;17.80;3.60;298.00;0.05;;7.80;0.30;60.00;;;0.74;0.00;1.64;;1.63;8.60;4.12;0.00
C0185F;Linguiça, frango, crua,;Carnes e derivados;193.00;0.65;16.20;14.00;;4.17;0.03;1125.00;;4.23;0.65;3.09;0.05;;51.40;10.80;805.00;54.80;0.47;181.00;19.00;4.60;279.00;0.05;;;0.11;66.00;;;0.41;0.00;0.12;0.31;0.69;5.85;2.81;0.00
C0186F;Linguiça, frango, crua, Sadia,;Carnes e derivados;122.00;0.67;17.50;5.52;;1.65;0.01;852.00;;1.67;0.67;2.99;0.04;;20.30;8.20;513.00;43.00;0.35;137.00;14.40;4.60;211.00;0.05;;;0.11;73.30;;;0.32;0.00;0.09;0.12;0.53;2.31;1.11;0.00
C0187F;Linguiça, frango, crua, Seara,;Carnes e derivados;243.00;1.00;17.00;19.00;;5.67;0.04;1277.00;;5.75;1.00;3.00;0.06;;69.90;12.30;1009.00;64.60;0.53;206.00;21.50;4.60;317.00;0.05;;;0.11;60.00;;;0.49;0.00;0.14;0.43;0.79;7.95;3.81;0.00
C0762F;Linguiça, frango/porco, fresca, crua,;Carnes e derivados;229.00;0.77;15.30;18.30;0.00;5.44;0.04;1194.00;;0.70;0.77;3.08;0.06;;67.10;11.50;949.00;12.00;0.49;192.00;20.10;3.60;296.00;0.05;;6.60;0.30;62.60;0.00;0.00;0.55;0.00;0.00;;1.42;7.64;3.66;0.00
C0182F;Linguiça, porco, frescal, crua (média de várias amostras),;Carnes e derivados;225.00;0.66;16.10;17.60;;6.00;0.03;1175.00;;;0.66;3.21;0.04;;52.90;6.87;935.00;6.14;0.44;157.00;17.80;2.60;316.00;0.05;;6.60;0.49;62.50;;;0.70;0.00;1.53;;1.78;7.50;2.35;0.00
C0191F;Linguiça, tipo calabresa, fininha, Seara,;Carnes e derivados;256.00;1.00;18.00;20.00;;6.93;;839.00;;;1.00;4.00;;;53.50;6.93;1063.00;3.96;0.99;105.00;11.90;3.20;187.00;0.17;;;0.26;57.00;0.00;0.00;1.50;0.17;0.00;0.83;2.09;9.26;2.13;0.00
C0190F;Linguiça, toscana, crua, Seara,;Carnes e derivados;268.00;1.00;12.00;24.00;;8.48;;1329.00;;;1.00;3.00;;;64.20;12.30;1109.00;5.12;1.18;133.00;15.40;3.19;290.00;0.22;;;0.39;60.00;0.00;0.00;2.74;0.20;0.00;0.42;2.53;11.20;2.20;0.00
C0037U;Linhaça, farinha (média de diferentes tipos), Linum usitatissimum L.,;Sementes e Oleaginosas;499.00;0.00;24.10;38.30;29.10;3.89;0.10;37.60;0.00;;29.10;3.24;1.36;0.00;;233.00;2058.00;41.70;5.87;564.00;377.00;3.82;805.00;;0.00;138.00;0.55;5.31;;;0.00;0.40;;;4.82;14.10;33.50;0.00
C0039U;Linhaça, farinha, dourada, Linum usitatissimum L, Linum usitatissimum L.,;Sementes e Oleaginosas;509.00;0.00;24.40;39.70;27.30;4.02;0.11;37.40;0.00;;27.30;2.91;1.36;0.00;;232.00;2101.00;41.50;5.85;562.00;376.00;3.80;802.00;;0.00;137.00;0.54;5.74;;;0.00;0.40;;;4.79;9.83;16.90;0.00
C0038U;Linhaça, farinha, marrom, Linum usitatissimum L.,;Sementes e Oleaginosas;482.00;0.00;20.40;36.80;34.50;4.39;0.10;37.80;0.00;;34.40;3.63;1.37;0.00;;235.00;1986.00;41.90;5.91;568.00;380.00;3.84;810.00;;0.00;139.00;0.55;4.70;;;0.00;0.40;;;4.85;8.55;15.00;0.00
C0006U;Linhaça, semente, Linum usitatissimum L.,;Sementes e Oleaginosas;453.00;9.81;14.10;32.30;33.50;4.20;;8.67;0.00;0.24;43.30;3.67;1.09;;0.00;211.00;1868.00;87.30;4.70;615.00;346.00;0.00;869.00;0.00;0.00;25.50;0.12;6.68;0.00;0.00;0.00;0.13;0.00;0.00;4.39;7.10;25.30;0.00
